submit_date,state,total_cases,new_cases,total_deaths,new_deaths,sum_cases_last_14_days,state_pop,new_cases_percent,cases_last_14_pop_percent
2022-01-18,TX,5644397,63296,76123,123,944405,28260856,0.0022397056904433468,0.033417423732671085
2022-01-18,HI,176439,7528,1115,0,64872,1422094,0.0052936022513279711,0.0456172376790845
2022-01-18,IA,664910,10607,8317,232,92889,3139508,0.0033785548563660295,0.029587120020079578
2022-01-18,MD,913464,4040,12866,81,137234,6018848,0.00067122479251843542,0.02280070870704826
2022-01-18,NJ,2014702,13074,30170,64,383411,8878503,0.0014725455406164756,0.043184194452600848
2022-01-18,TN,1675931,14041,21727,9,269872,6709356,0.002092749289201527,0.0402232345399469
2022-01-18,WA,1105622,71480,10230,34,247641,7404107,0.0096541014331640532,0.033446437227338824
2022-01-18,OR,541415,28024,5892,9,105962,4129803,0.0067857958357819973,0.025657882470422923
2022-01-18,UT,790216,39882,3979,28,133809,3096848,0.01287825556824229,0.043208126456319461
2022-01-18,CO,1146740,13992,10662,3,199721,5610349,0.0024939624968072396,0.035598676659865547
2022-01-18,IL,2682983,20483,32851,387,419817,12770631,0.0016039144815945274,0.032873630128378149
2022-01-18,VA,1419897,16794,15837,19,302989,8454463,0.0019864064695770743,0.035837758116630238
2022-01-18,CT,657680,4972,9564,13,123178,3575074,0.0013907404434145979,0.034454671427780234
2022-01-18,OH,2418792,19574,31245,323,407669,11655397,0.001679393674878685,0.03497684377460502
2022-01-18,AL,1088373,23110,16756,26,199537,4876250,0.0047392976159958983,0.040920174314278392
2022-01-18,KY,1014703,8648,12614,0,160170,4449052,0.0019437848782167526,0.036000927838110229
2022-01-18,MA,1487277,65499,20999,73,322041,6850553,0.0095611259412196354,0.04700948959886888
2022-01-18,MO,1205772,28843,16617,6,197675,6104910,0.0047245577739884782,0.032379674720839455
2022-01-18,CA,7185586,76374,77306,36,1558114,39283497,0.0019441751837928278,0.039663322234270541
2022-01-18,GA,2160539,13307,32030,33,307352,10403847,0.0012790461066949563,0.029542149168475852
2022-01-18,AR,687989,9482,9452,22,144696,2999370,0.0031613305460813437,0.048242130847477971
2022-01-18,IN,1474289,11833,20385,77,187699,6665703,0.001775206606114914,0.028158920371939764
2022-01-18,KS,621273,0,7162,0,115343,2910652,0.0,0.039627890933028063
2022-01-18,LA,1025748,36642,15195,74,204893,4664362,0.00785573675456579,0.043927336686131996
2022-01-18,MN,1148888,12394,11140,34,121459,5563378,0.0022277831921541191,0.021831879839910213
2022-01-18,MS,657084,31114,10642,23,128896,2984418,0.010425483293560085,0.0431896604296047
2022-01-18,NY,4570794,24055,62039,221,817160,19572319,0.0012290316747851902,0.041750801220846644
2022-01-18,NC,2130403,43136,20000,113,412984,10264876,0.0042022913866665316,0.040232731501091683
2022-01-18,MI,2063409,87190,30869,163,306524,9965265,0.0087493910096720952,0.030759242227878535
2022-01-18,PA,2487925,16018,38655,48,423946,12791530,0.0012522348772977118,0.033142712404223736
2022-01-18,ME,162941,1950,1688,33,15928,1335492,0.0014601360397516422,0.01192669068777649
2022-01-18,AZ,1645694,25067,25395,208,266565,7050299,0.0035554520453671538,0.037809034765759579
2022-01-18,ID,344412,4315,4282,11,27856,1717750,0.0025120069858826956,0.01621656236355698
2022-01-18,NE,402489,8130,3548,8,70186,1914571,0.0042463820876843953,0.036658865093015615
2022-01-18,NV,596497,26038,8654,27,87499,2972382,0.0087599776879284021,0.029437333424842432
2022-01-18,OK,852997,13732,11740,0,165999,3932870,0.0034915977390557024,0.04220810756521319
2022-01-18,FL,5196718,56488,63458,4,962290,20901636,0.0027025635696650732,0.046038979915256392
2022-01-18,NM,420192,21253,6177,32,61076,2092454,0.01015697358221495,0.029188694231748941
2022-01-18,SC,1225988,14307,15016,4,258410,5020806,0.0028495424838163434,0.051467832057243396
2022-01-18,WI,1400338,23179,11755,44,303238,5790716,0.0040027865293341966,0.052366235885165154
2022-01-18,PR,423221,7250,3563,23,182295,3318447,0.0021847569058659065,0.054933828986872477
2022-01-18,WV,392737,2374,5561,35,61993,1817305,0.001306329977631713,0.034112600801736635
2022-01-18,RI,317344,3644,3200,12,68121,1057231,0.0034467396434648624,0.06443341143042533
2022-01-18,WY,130553,5073,1601,13,16342,581024,0.0087311367516660233,0.028126204769510381
2022-01-18,NH,250581,14683,2085,6,45684,1348124,0.01089143135201213,0.03388709050502773
2022-01-18,VT,85117,8158,474,10,23509,624313,0.0130671634260379,0.037655791245737313
2022-01-18,DC,125707,3836,1260,5,20214,692683,0.0055378867389556264,0.0291821800159669
2022-01-18,AK,172329,0,955,0,17960,737068,0.0,0.024366815544834396
2022-01-18,ND,199213,4676,2047,0,30998,756717,0.006179324635233515,0.0409637949193688
2022-01-18,SD,205402,2847,2560,1,27107,870638,0.0032700157815303259,0.031134639195624359
2022-01-18,DE,230876,1121,2424,0,42720,957248,0.0011710653874440061,0.044627933409106105
2022-01-18,MT,215988,4942,2957,12,21552,1050649,0.0047037592954450062,0.020513035276291131
2022-01-17,TX,5590444,82129,76000,4,943784,28260856,0.0029061044718532232,0.033395449875969783
2022-01-17,HI,170259,5386,1115,0,59165,1422094,0.0037873727053204641,0.041604141498381965
2022-01-17,IA,657146,14133,8201,0,88976,3139508,0.0045016607697766654,0.028340746384465338
2022-01-17,MD,909424,3215,12786,68,143480,6018848,0.00053415537325415092,0.02383844881944186
2022-01-17,NJ,2003580,9909,30120,31,404322,8878503,0.0011160665260799034,0.045539433843745959
2022-01-17,TN,1665073,13566,21715,26,267286,6709356,0.0020219526285384171,0.039837802614736795
